,ID,experiment_ID,sample_ID,sample_type,sample_state,sample_lot,biopsy_id,culture_date,biopsy_replicate,biopsy_diameter_mm,digestion_volume_ul,dilution_factor,assay_volume_ul,loaded_weight1_mg,loaded_weight2_mg,tube_weight1_mg,tube_weight2_mg,operator,std_conc_ug_per_well,media_type,biomaterial_id,reaction_date,abs,sheet_name,location,data check,normalized_abs,r_squared,net weight mg,ug/well,mg/ml,mg/biopsy,mg/cm2
0,23,HP16-20231023,S5,standard,liquid,,,,,,,1,20,,,,,,1,,,12-30-1899,1.16,Plate1,E10,,1.16,0.9969865167625916,,,,,
1,23,HP16-20231023,S5,standard,liquid,,,,,,,1,20,,,,,,1,,,12-30-1899,1.166,Plate1,F10,,1.166,0.9969865167625916,,,,,
2,26,HP16-20231023,S2,standard,liquid,,,,,,,1,20,,,,,,0.4,,,12-30-1899,0.521,Plate1,G10,,0.521,0.9969865167625916,,,,,
3,26,HP16-20231023,S2,standard,liquid,,,,,,,1,20,,,,,,0.4,,,12-30-1899,0.531,Plate1,H10,,0.531,0.9969865167625916,,,,,
4,24,HP16-20231023,S4,standard,liquid,,,,,,,1,20,,,,,,0.8,,,12-30-1899,0.977,Plate1,E11,,0.977,0.9969865167625916,,,,,
5,24,HP16-20231023,S4,standard,liquid,,,,,,,1,20,,,,,,0.8,,,12-30-1899,0.977,Plate1,F11,,0.977,0.9969865167625916,,,,,
6,27,HP16-20231023,S1,standard,liquid,,,,,,,1,20,,,,,,0.2,,,12-30-1899,0.323,Plate1,G11,,0.323,0.9969865167625916,,,,,
7,27,HP16-20231023,S1,standard,liquid,,,,,,,1,20,,,,,,0.2,,,12-30-1899,0.319,Plate1,H11,,0.319,0.9969865167625916,,,,,
8,25,HP16-20231023,S3,standard,liquid,,,,,,,1,20,,,,,,0.6,,,12-30-1899,0.702,Plate1,E12,,0.702,0.9969865167625916,,,,,
9,25,HP16-20231023,S3,standard,liquid,,,,,,,1,20,,,,,,0.6,,,12-30-1899,0.786,Plate1,F12,,0.786,0.9969865167625916,,,,,
10,28,HP16-20231023,S0,standard,liquid,,,,,,,1,20,,,,,,0,,,12-30-1899,0.089,Plate1,G12,,0.089,0.9969865167625916,,,,,
11,28,HP16-20231023,S0,standard,liquid,,,,,,,1,20,,,,,,0,,,12-30-1899,0.081,Plate1,H12,,0.081,0.9969865167625916,,,,,
12,13,HP16-20231023,230928-2,sample,liquid,,230928-2-3,09-28-2023,,,200,2,50,,,,,RT,,TGFBS,,10-23-2023,0.29,Plate1,E1,,0.29,,,9.063481100851398,0.3625392440340559,,
13,13,HP16-20231023,230928-2,sample,liquid,,230928-2-3,09-28-2023,,,200,2,50,,,,,RT,,TGFBS,,10-23-2023,0.296,Plate1,F1,,0.296,,,9.339836919911777,0.3735934767964711,,
14,13,HP16-20231023,230928-2,sample,liquid,,230928-2-3,09-28-2023,,,200,2,50,,,,,RT,,TGFBS,,10-23-2023,0.29,Plate1,G1,,0.29,,,9.063481100851398,0.3625392440340559,,
15,13,HP16-20231023,230928-2,sample,liquid,,230928-2-3,09-28-2023,,,200,2,50,,,,,RT,,TGFBS,,10-23-2023,0.29,Plate1,H1,,0.29,,,9.063481100851398,0.3625392440340559,,
16,14,HP16-20231023,230928-2,sample,liquid,,230928-2-4,09-28-2023,,,200,2,50,,,,,RT,,TGFBS,,10-23-2023,0.295,Plate1,E2,,0.295,,,9.293777616735047,0.3717511046694019,,
17,14,HP16-20231023,230928-2,sample,liquid,,230928-2-4,09-28-2023,,,200,2,50,,,,,RT,,TGFBS,,10-23-2023,0.302,Plate1,F2,,0.302,,,9.616192738972158,0.38464770955888633,,
18,14,HP16-20231023,230928-2,sample,liquid,,230928-2-4,09-28-2023,,,200,2,50,,,,,RT,,TGFBS,,10-23-2023,0.291,Plate1,G2,,0.291,,,9.109540404028127,0.3643816161611251,,
19,14,HP16-20231023,230928-2,sample,liquid,,230928-2-4,09-28-2023,,,200,2,50,,,,,RT,,TGFBS,,10-23-2023,0.302,Plate1,H2,,0.302,,,9.616192738972158,0.38464770955888633,,
20,15,HP16-20231023,230928-3,sample,liquid,,230928-3-1,09-28-2023,,,200,2,50,,,,,RT,,TGFBS,,10-23-2023,0.296,Plate1,E3,,0.296,,,9.339836919911777,0.3735934767964711,,
21,15,HP16-20231023,230928-3,sample,liquid,,230928-3-1,09-28-2023,,,200,2,50,,,,,RT,,TGFBS,,10-23-2023,0.306,Plate1,F3,,0.306,,,9.800429951679078,0.3920171980671631,,
22,15,HP16-20231023,230928-3,sample,liquid,,230928-3-1,09-28-2023,,,200,2,50,,,,,RT,,TGFBS,,10-23-2023,0.284,Plate1,G3,,0.284,,,8.787125281791017,0.35148501127164067,,
23,15,HP16-20231023,230928-3,sample,liquid,,230928-3-1,09-28-2023,,,200,2,50,,,,,RT,,TGFBS,,10-23-2023,0.288,Plate1,H3,,0.288,,,8.971362494497937,0.35885449977991746,,
24,16,HP16-20231023,230928-3,sample,liquid,,230928-3-2,09-28-2023,,,200,2,50,,,,,RT,,TGFBS,,10-23-2023,0.325,Plate1,E4,,0.325,,,10.67555671203695,0.427022268481478,,
25,16,HP16-20231023,230928-3,sample,liquid,,230928-3-2,09-28-2023,,,200,2,50,,,,,RT,,TGFBS,,10-23-2023,0.322,Plate1,F4,,0.322,,,10.53737880250676,0.4214951521002704,,
26,16,HP16-20231023,230928-3,sample,liquid,,230928-3-2,09-28-2023,,,200,2,50,,,,,RT,,TGFBS,,10-23-2023,0.326,Plate1,G4,,0.326,,,10.72161601521368,0.42886464060854723,,
